title,description,thumbnail,author,publisher,publishing_year,num_pages,language,categories,link
エヴァンゲリオン Anima 3 - Neon Genesis Evangelion Anima (Dengeki Hobby Books),"エヴァンゲリオン ANIMA 3 (DENGEKI HOBBY BOOKS) - EVANGERION ANIMA 3


碇シンジとスーパーエヴァンゲリオンは絶望的な敗北から立ち上がれるか?


“黒の巨人""アルマロスとロンギヌスの槍による未曾有の天変地異に晒される地球…それは新たな「人類補完計画」のための“リセット”だった。

北アフリカでアルマロスに戦いを挑むも、自らの“心臓”を奪われて敗れたシンジとスーパーエヴァンゲリオン、

弐号機と融合し紅い巨人「クリムゾンA1」となって帰還を果たしたアスカ、

そして自らの存在に思い悩む二人の綾波レイ「トロワ」と「カトル」……17歳のチルドレン達が彷徨い向かう先は?


碇シンジ17歳……彼とスーパーエヴァンゲリオンは絶望的な敗北から再び立ち上がれるか?",https://cdn1.fahasa.com/media/catalog/product/i/m/image_209599.jpg,"山下 いくと, 柏原 康雄, カラー",Kinokuniya Book Stores,2018,324,Tiếng Nhật,Manga Books,https://www.fahasa.com/anima-3-dengeki-hobby-books-evangerion-anima-3.html
ブラッククローバー 20 - Burakku Kurouba 20,"ブラッククローバー 20 - Burakku Kurouba 20


ドロシーの夢魔法の世界へ連れて行かれたバネッサ達。ドロシーが絶対の力を持つ空間でどう立ち向かうのか…。一方、アスタ達はエルフ化したゴーシュ・マリー兄妹の放つ鏡×瞳魔法の強力な攻撃を前に苦戦を強いられて!? 魔法騎士達はエルフが集う影の王宮を目指し更なる激闘へ──!!",https://cdn1.fahasa.com/media/catalog/product/i/m/image_224188.jpg,田畠 裕基,Kinokuniya Book Stores,2019,192,Tiếng Nhật,Manga Books,https://www.fahasa.com/20-burakku-kurouba-20.html
五等分の花嫁 フルカラー版(9) (KCデラックス) - Go Toubun No Hanayome Furu Karaban 9,"五等分の花嫁 フルカラー版(9) (KCデラックス) - Go Toubun No Hanayome Furu Karaban 9


貧乏な生活を送る高校2年生・上杉風太郎のもとに、好条件の家庭教師アルバイトの話が舞い込む。ところが教え子はなんと同級生!! しかも五つ子だった!! 全員美少女、だけど「落第寸前」「勉強嫌い」の問題児! 風太郎は、超個性的な彼女たちを「卒業」まで導けるか──!?


「落第寸前」「勉強嫌い」の美少女五つ子を、アルバイト家庭教師として「卒業」まで導くことになった風太郎。春休みが明け、新学期到来。無事3年生に進級した五つ子と風太郎は、なんと六人とも同じクラスに配属! 恋に勉強に学校行事!! 賑やかすぎる高校生活最後の一年が、幕を開ける──!! かわいさ500%の五つ子ラブコメ、フルカラー版第9巻!!",https://cdn1.fahasa.com/media/catalog/product/i/m/image_224186.jpg,春場 ねぎ,Kinokuniya Book Stores,2020,192,Tiếng Nhật,Manga Books,https://www.fahasa.com/9-kc-go-toubun-no-hanayome-furu-karaban-9.html
五等分の花嫁 フルカラー版(7) (KCデラックス) - Go Toubun No Hanayome Furu Karaban 7,"五等分の花嫁 フルカラー版(7) (KCデラックス) - Go Toubun No Hanayome Furu Karaban 7


貧乏な生活を送る高校2年生・上杉風太郎のもとに、好条件の家庭教師アルバイトの話が舞い込む。ところが教え子はなんと同級生!! しかも五つ子だった!! 全員美少女、だけど「落第寸前」「勉強嫌い」の問題児! 風太郎は、超個性的な彼女たちを「卒業」まで導けるか──!?


「落第寸前」「勉強嫌い」の美少女五つ子を、アルバイト家庭教師として「卒業」まで導くことになった風太郎。トラブル続きだった期末試験。自身の力不足を理由に、風太郎は家庭教師を退任しようと決意する。しかし、家を出てまで教えを乞う五つ子たちの覚悟を目の当たりにし、家庭教師を継続することに。次こそは「全教科赤点回避」!風太郎と中野家五つ子の楽しい一年が幕を開ける──!!",https://cdn1.fahasa.com/media/catalog/product/i/m/image_224185.jpg,春場 ねぎ,Kinokuniya Book Stores,2020,192,Tiếng Nhật,Manga Books,https://www.fahasa.com/7-kc-go-toubun-no-hanayome-furu-karaban-7.html
"古見さんは、コミュ症です。18 - Komi-san wa, Komyusho desu - Komi Can’t Communicate","古見さんは、コミュ症です。18 - Komi Can't Communicate 18


一歩踏み出すコミュ症美少女コメディー!


文化祭が終わり、いつもの温度感に戻る古見さん達。
いつもの日々が、不思議と少し色づいて見えます。
文化祭のアナザーストーリー、中々さんバンドの結成。
尾鶏家で展開される、謎解きミステリー。
古見さんと只野くん、体育館倉庫に二人きり――
友達、親子、恋の悩み。全てが一歩、前へと進みます。
複雑なのに、温かい。難しいのに、面白い。
人付き合いは、季節とともに移ろっていきます。 (人付き合い:コミュニケーション)


「伝えたい」という気持ちが何かを動かしていく
コミュ症美少女コメディー、第18巻。


【編集担当からのおすすめ情報】


今巻は見所が盛り沢山!
古見さんと只野くんが体育館倉庫に2人きり、古見さん両親の恋愛譚(チューの行方は…!?)、
只野くんの妹・瞳ちゃんによりみっちりスケジューリングされた笑介くんの文化祭回など、気になるエピソードが続きます。
その中でもお勧めなのは、中々さんバンドの結成。
17巻終盤で登場していた中々さんバンドですが、結成から披露に至るまでの濃密なドラマが今回明かされます。
練習する中々さん達と、ストイックなダメ出しを繰り出す山井さんの掛け合いは必見。
また、少年サンデー本誌とWEBで同時開催した「キャラクター人気投票」の結果も掲載!
目が離せない一冊です。今巻も是非。


人付き合い(コミュニケーション)で、
たまに胸が締め付けられる全ての人に、
お読み頂けますと幸いです。",https://cdn1.fahasa.com/media/catalog/product/9/7/9784098501786.jpg,オダ トモヒト,Kinokuniya Book Stores,2020,192,Tiếng Nhật,Manga Books,https://www.fahasa.com/18-komi-can-t-communicate-18.html
文豪ストレイドッグス わん! 2 - Bungo Stray Dogs Wan! 2,"文豪ストレイドッグス わん! 2 - Bungo Stray Dogs Wan! 2


「文豪ストレイドッグス」公式ギャグスピンオフ第二弾!


大人気作品「文豪ストレイドッグス」の和やかな日常をお届け☆ 今回も敦達がダンスを踊ったり、中也の背が大きくなったり、本編では有り得ないことが起きる!",https://cdn1.fahasa.com/media/catalog/product/9/7/9784041055427.jpg,"かないねこ, 朝霧 カフカ, 春河35",Kinokuniya Book Stores,2017,162,Tiếng Nhật,Manga Books,https://www.fahasa.com/bungou-sutoreidoggusu-wan-2.html
トニカクカワイイ (10) TONIKAKUKAWAII 10,"トニカクカワイイ (10) TONIKAKUKAWAII 10


夏、真っ盛り!


時子のいきなりの提案で、キャンプへ行くことになった由崎夫妻。

司以外はノリノリで、ほぼオールキャストが参加!


これはまるで由崎夫妻の結婚披露宴!?


愛と幸せがまだまだ深まる第10巻!!


【編集担当からのおすすめ情報】

大人気!

単行本限定!

1話まるまる描き下ろしエピソード収録!",https://cdn1.fahasa.com/media/catalog/product/i/m/image_219568.jpg,畑 健二郎,Kinokuniya Book Stores,2020,192,Tiếng Nhật,Manga Books,https://www.fahasa.com/tonikakukawaii-10.html
Dr.STONE 7 (ジャンプコミックス),"Dr.STONE 7 (ジャンプコミックス)


レアな鉱石素材を手に入れようと千空・クロム・マグマは洞窟探検へ出発する。待ち受ける自然のダンジョンを乗り越えお宝に辿り着くことができるのか!? そして現代戦最強の武器・ケータイ作りは佳境へ!!",https://cdn1.fahasa.com/media/catalog/product/i/m/image_209000.jpg,"Boichi, 稲垣 理一郎",Kinokuniya Book Stores,2018,192,Tiếng Nhật,Manga Books,https://www.fahasa.com/dr-stone-7.html
"日本語総まとめ N1 漢字 - Nihongo So-Matome N1 Kanji (With English, Vietnamese Translation)","日本語総まとめ N1 漢字 - Nihongo So-Matome N1 Kanji (With English, Vietnamese Translation)


Essential Practice for the Japanese Language Proficiency Test (JLPT)",https://cdn1.fahasa.com/media/catalog/product/9/7/9784866392417.jpg,"佐々木仁子, 松本紀子",Kinokuniya Book Stores,2019,159,Tiếng Nhật,Learning Japanese Books,https://www.fahasa.com/nihongo-sou-matome-enu-ichi-kanji-eigo-betonamugoban.html
"古見さんは、コミュ症です。3 - Komi-san wa, Komyusho desu - Komi Can’t Communicate","古見さんは、コミュ症です。3 - Komi Can't Communicate 3


中毒必至のコミュ症ヒロインコメディー!!


古見さんはとても美少女で、極度のコミュ症です。
つい周囲に「綺麗だけど近寄りがたい人」と
思われがちですが、ほとんどが誤解です。


でも察し上手な只野くんと友達になって、
緊張の高校生活を送りながら、少しずつ友達ができました。
少し個性的な友達と、皆で遊ぶ夏休み。


遊びに誘いたいけど誘えなかったり、皆と一緒にプールへ行ったり、
初めてのアルバイトに挑戦、お盆に里帰りも。
そして夏祭り、言葉にはしない、できないような夏の一幕。


コミュ症美少女・古見さんは、夏のイベントを満喫です。
とても静かに、鼓動が高鳴る。熱が上昇する。
このドキドキは緊張なのか、それとも…?


古見さんの可愛さに胸を打たれ、周囲との関係性に笑みがこぼれる。
少しずつ賑わいで来たコミュ症ヒロインコメディー、第3巻!!


【編集担当からのおすすめ情報】
オススメは夏祭りの回です。メモ帳を忘れて、いつも通りのコミュニケーションを取れない古見さんが、思わず吐露してしまうその気持ちに、心が掴まれます。


人付き合い(コミュニケーション)で、
たまに胸が締め付けられる全ての人に、
是非お読み頂けますと幸いです。",https://cdn1.fahasa.com/media/catalog/product/9/7/9784091275097.jpg,オダ トモヒト,Kinokuniya Book Stores,2017,192,Tiếng Nhật,Manga Books,https://www.fahasa.com/3-komi-can-t-communicate-3.html
GRANBLUE FANTASY グランブルーファンタジー GRAPHIC ARCHIVE IV EXTRA WORKS,"GRANBLUE FANTASY グランブルーファンタジー GRAPHIC ARCHIVE IV EXTRA WORKS


特典シリアルコード付き
 『SSレアキャラ解放武器確定チケット 1枚』
 『エリクシールハーフ 50個』
 『ソウルシード 150個』
 ※特典内容は『GRANBLUE FANTASY グランブルーファンタジー GRAPHIC ARCHIVE Ⅳ』と同様です。
 ※本書籍のシリアルコードの入力は1アカウントにつき、1回のみとなります。",https://cdn1.fahasa.com/media/catalog/product/9/7/9784758016063.jpg,ポストメディア編集部,Kinokuniya Book Stores,2018,199,Tiếng Nhật,"Art, Anime Character",https://www.fahasa.com/granblue-fantasy-graphic-archive-iv-extra-works.html
